КодОЗ,Кол-во коек,Врачи,Средний медперсонал
3156,,,
3157,,,
3158,,,
3159,,,
3160,,,
3162,,,
3163,,,
3164,,,
3165,,,
3166,,,
3167,,,
3168,,,
3169,,,
3170,,,
3171,,,
3172,,,
3173,,,
3174,,,
3175,,,
3176,,,
3177,,,
3178,,,
3179,,,
3181,268,71,193
3182,,,
3183,,,
3185,,,
3186,,,
3187,,,
3188,,,
3189,,,
3190,,,
3191,,,
3192,,,
3193,,,
3194,,,
3195,,,
3196,,,
3197,,,
3198,,,
3199,,,
3200,,,
3201,,,
3202,,,
3203,,,
3204,,,
3205,,,
3206,,,
3208,,,
3209,,,
3210,,,
3211,,,
3212,,,
3213,,,
3215,,,
3222,,,
3223,,,
3224,,,
3225,,,
3226,,,
3227,,,
3228,,,
3229,,,
3231,,,
3232,,,
3233,,,
3234,,,
3235,,,
3238,,,
3239,,,
3241,,,
3249,370,46,141
3250,,,
3257,,,
3258,191,69,157
3259,210,47,134
3260,,,
3261,,,
3266,,,
3267,,,
3268,,,
3269,,,
3270,,,
3271,,,
3272,,,
3273,,,
3278,186,45,125
3285,,,
3286,,,
3287,,,
3288,,,
3289,,,
3290,,,
3291,,,
3292,,,
3293,,,
3294,40,3,6
3295,,,
3296,,,
3299,,,
3301,,,
3302,,,
3305,,,
3306,100,27,78
3310,,,
3312,,,
3313,,,
3314,,,
3315,,,
3316,,,
3317,,,
3318,,,
3319,,,
3320,,,
3321,,,
3323,,,
3325,,,
3326,89,21,61
3328,,,
3330,,,
3331,,,
3332,,,
3333,,,
3334,,,
3366,,,
3367,,,
3368,,,
3369,,,
3370,,,
3371,,,
3372,,,
3375,,,
3376,,,
3377,,,
3378,,,
3379,,,
3382,,,
3383,,,
3384,,,
3385,,,
3386,,,
3388,,,
3389,,,
3391,,,
3392,,,
3393,,,
3394,,,
3395,,,
3396,,,
3397,,,
3398,,,
3399,,,
3400,,,
3401,,,
3402,,,
3403,,,
3404,,,
3405,,,
3406,,,
3407,,,
3408,,,
3409,,,
3410,,,
3411,,,
3412,,,
3413,,,
3414,,,
3415,,,
3416,,,
3417,,,
3418,,,
3419,,,
3420,,,
3421,,,
3422,,,
3423,,,
3424,,,
3425,,,
3426,,,
3427,,,
3428,,,
3429,,,
3430,,,
3432,,,
3433,,,
3434,,,
3435,,,
3436,,,
3437,,,
3438,,,
3439,,,
3440,,,
3441,,,
3442,,,
3445,,,
3446,,,
3448,,,
3449,,,
3451,,,
3452,,,
3453,,,
3454,,,
3456,,,
3457,,,
3557,,,
3558,,,
3559,,,
3560,,,
3561,,,
3562,,,
3563,,,
3564,,,
3565,,,
3566,,,
3567,,,
3571,,,
3572,,,
3573,,,
3574,,,
3575,,,
3576,,,
3577,,,
3579,,,
3580,,,
3581,,,
3582,,,
3583,,,
3584,,,
3585,,,
3586,,,
3587,,,
3588,,,
3589,,,
3590,,,
3592,,,
3593,,,
3594,,,
3595,,,
3596,,,
3597,,,
3598,,,
3599,,,
3600,,,
3601,,,
3602,,,
3603,,,
3604,,,
3605,,,
3606,,,
3607,,,
3608,,,
3610,,,
3611,,,
3612,95,8,28
3614,,,
3615,,,
3616,,,
3617,,,
3618,,,
3619,,,
3620,,,
3627,,,
3629,,,
3635,,,
3637,,,
3639,,,
3642,,,
3643,,,
3646,,,
3647,,,
3648,,,
3650,,,
3651,,,
3653,,,
3654,,,
3655,,,
3656,,,
3657,,,
3659,,,
3661,,,
3662,,,
3663,,,
3664,,,
3666,,,
3667,,,
3669,,,
3671,,,
3673,,,
3674,,,
3675,,,
3676,,,
3677,,,
3678,,,
3685,,,
3688,,,
3690,,,
3692,,,
3693,,,
3694,,,
3695,,,
3719,,,
3722,,,
3724,0,116,211
3725,0,59,160
3726,0,44,102
3727,0,89,169
3730,0,46,145
3731,0,135,415
3732,0,111,228
3733,0,39,85
3736,0,144,200
3737,198,54,165
3738,0,42,84
3739,,,
4000,,,
4003,,,
4185,,,
4182,,,
4008,,,
4009,,,
4013,15,1,5
4015,,,
4016,,,
4017,,,
4018,,,
4019,,,
4020,,,
4021,,,
4022,,,
4023,,,
4024,,,
4025,,,
4026,,,
4027,,,
4028,,,
4029,,,
4030,,,
4031,,,
4100,458,123,314
4114,,,
4115,,,
4116,,,
4118,,,
4119,,,
4120,,,
4121,,,
4122,,,
4123,,,
4124,,,
4125,,,
4126,,,
4127,,,
4128,,,
4129,119,45,102
4134,,,
4135,,,
4136,,,
4137,,,
4138,,,
4139,,,
4140,,,
4142,,,
4143,,,
4144,,,
4145,,,
4146,,,
4147,,,
4148,,,
4149,,,
4150,,,
4152,85,22,62
4155,,,
4156,,,
4157,,,
4158,,,
4160,,,
4161,,,
4162,120,33,84
4167,,,
4168,,,
4169,,,
4170,,,
4171,,,
4172,,,
4173,,,
4174,,,
4176,,,
4177,,,
4178,76,23,66
4183,,,
4184,,,
4186,,,
4187,,,
4188,,,
