Код ОЗ,Краткое название ОЗ,Полное название ОЗ ,Адрес ОЗ
1033,ОЦСМ СВЕРДЛОВСКОГО РАЙОНА ГОРОДА БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  СВЕРДЛОВСКОГО РАЙОНА ГОРОДА БИШКЕК,'г.Бишкек (Свердл. р-н), 720022, ул. Кольбаева, 42'
1034,ОЦСМ ОКТЯБРЬСКОГО РАЙОНА Г.БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  ОКТЯБРЬСКОГО РАЙОНА Г.БИШКЕК,'г.Бишкек (Окт. р-н), ул. Жукеева-Пудовкина, 75'
1035,ОЦСМ ЛЕНИНСКОГО РАЙОНА Г.БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  ЛЕНИНСКОГО РАЙОНА Г.БИШКЕК,'г.Бишкек (Лен. р-н), ул. Фучика, 15'
1036,ОЦСМ ПЕРВОМАЙСКОГО РАЙОНА Г.БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  ПЕРВОМАЙСКОГО РАЙОНА Г.БИШКЕК,'г.Бишкек (Перв. р-н), ул. Логвиненко, 30'
1055,ГСВ №29,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №29,'г.Бишкек (Лен. р-н), ул. Гагарина'
1068,МЕДИКО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР,МЕДИКО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР,'г.Бишкек (Свердл. р-н), ул. Киевская, 161'
1111,ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ Г. БИШКЕК,ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ Г. БИШКЕК,'г.Бишкек (Лен. р-н), 720017, пр. Манаса, 12'
1172,ГСВ №1,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1,'г.Бишкек (Свердл. р-н), 720040, ул. Жибек Жолу, 495'
1173,ГСВ №2,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2,'г.Бишкек (Свердл. р-н), 720040, ул. Жибек Жолу, 495'
1174,ГСВ №3,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3,'г.Бишкек (Свердл. р-н), 720040, ул. Жибек Жолу, 495'
1175,ГСВ №4,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4,'г.Бишкек (Свердл. р-н), 720040, ул. Жибек Жолу, 495'
1176,ГСВ №5,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5,'г.Бишкек (Свердл. р-н), 720040, ул. Жибек Жолу, 495'
1182,ГСВ №7,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1,'г.Бишкек (Свердл. р-н), 720011, ул. Ибраимова, 181'
1185,ГСВ №8,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2,'г.Бишкек (Свердл. р-н), 720011, ул. Ибраимова, 181'
1186,ГСВ №9,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9,'г.Бишкек (Свердл. р-н), 720011, ул. Токтогула, 62'
1187,ГСВ №10,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №10,'г.Бишкек (Свердл. р-н), 720011, ул. Токтогула, 62'
1189,ГСВ "БАКАЙ-АТА",ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ "БАКАЙ-АТА",'г.Бишкек (Свердл. р-н), 720022, жилмассив Бакай-Ата, Полевая, 1а'
1192,ГСВ "УЧКУН",ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ "УЧКУН",'г.Бишкек (Свердл. р-н), 720022, мкр. Учкун'
1193,ГСВ "ТУНГУЧ",ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ "ТУНГУЧ",'г.Бишкек (Свердл. р-н), 720022, мкр. Тунгуч, 17/2'
1198,ГСВ №11,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11,'г.Бишкек (Свердл. р-н), 720065, пр. Чуй, 40'
1200,ГСВ №13,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №13,'г.Бишкек (Свердл. р-н), 720065, пр. Чуй, 40'
1201,ГСВ №14,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №14,'г.Бишкек (Свердл. р-н), 720065, пр. Чуй, 40'
1203,ГСВ №12,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12,'г.Бишкек (Свердл. р-н), 720065, пр. Чуй, 40'
1204,ГСВ №16,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №16,'г.Бишкек (Свердл. р-н), 720051, ул. Курманжан-Датка, 109а'
1205,ГСВ №17,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №17,'г.Бишкек (Свердл. р-н), 720051, ул. Курманжан-Датка, 109а'
1206,ГСВ №18,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №18,'г.Бишкек (Свердл. р-н), 720051, ул. Курманжан-Датка, 109а'
